breed,category,characteristic,star
Australian Retriever, All Around Friendliness,Affectionate With Family,4
Australian Retriever, All Around Friendliness,Kid-Friendly,4
Australian Retriever, All Around Friendliness,Dog Friendly,3
Australian Retriever, All Around Friendliness,Friendly Toward Strangers,3
Australian Retriever, Health And Grooming Needs,Amount Of Shedding,3
Australian Retriever, Health And Grooming Needs,Drooling Potential,2
Australian Retriever, Health And Grooming Needs,Easy To Groom,3
Australian Retriever, Health And Grooming Needs,General Health,4
Australian Retriever, Health And Grooming Needs,Potential For Weight Gain,4
Australian Retriever, Health And Grooming Needs,Size,4
Australian Retriever, Trainability,Easy To Train,4
Australian Retriever, Trainability,Intelligence,4
Australian Retriever, Trainability,Potential For Mouthiness,2
Australian Retriever, Trainability,Prey Drive,3
Australian Retriever, Trainability,Tendency To Bark Or Howl,2
Australian Retriever, Trainability,Wanderlust Potential,4
Australian Retriever, Physical Needs,Energy Level,5
Australian Retriever, Physical Needs,Intensity,3
Australian Retriever, Physical Needs,Exercise Needs,5
Australian Retriever, Physical Needs,Potential For Playfulness,4
Australian Kelpie, Adaptability,Adapts Well To Apartment Living,2
Australian Kelpie, Adaptability,Good For Novice Owners,2
Australian Kelpie, Adaptability,Sensitivity Level,4
Australian Kelpie, Adaptability,Tolerates Being Alone,2
Australian Kelpie, Adaptability,Tolerates Cold Weather,3
Australian Kelpie, Adaptability,Tolerates Hot Weather,5
Australian Kelpie, All Around Friendliness,Affectionate With Family,4
Australian Kelpie, All Around Friendliness,Kid-Friendly,2
Australian Kelpie, All Around Friendliness,Dog Friendly,3
Australian Kelpie, All Around Friendliness,Friendly Toward Strangers,2
Australian Kelpie, Health And Grooming Needs,Amount Of Shedding,3
Australian Kelpie, Health And Grooming Needs,Drooling Potential,1
Australian Kelpie, Health And Grooming Needs,Easy To Groom,4
Australian Kelpie, Health And Grooming Needs,General Health,3
Australian Kelpie, Health And Grooming Needs,Potential For Weight Gain,2
Australian Kelpie, Health And Grooming Needs,Size,3
Australian Kelpie, Trainability,Easy To Train,5
Australian Kelpie, Trainability,Intelligence,5
Australian Kelpie, Trainability,Potential For Mouthiness,5
Australian Kelpie, Trainability,Prey Drive,4
Australian Kelpie, Trainability,Tendency To Bark Or Howl,4
Australian Kelpie, Trainability,Wanderlust Potential,4
Australian Kelpie, Physical Needs,Energy Level,5
Australian Kelpie, Physical Needs,Intensity,3
Australian Kelpie, Physical Needs,Exercise Needs,5
Australian Kelpie, Physical Needs,Potential For Playfulness,4
Aussiepom, Adaptability,Adapts Well To Apartment Living,3
Aussiepom, Adaptability,Good For Novice Owners,2
Aussiepom, Adaptability,Sensitivity Level,3
Aussiepom, Adaptability,Tolerates Being Alone,2
Aussiepom, Adaptability,Tolerates Cold Weather,3
Aussiepom, Adaptability,Tolerates Hot Weather,3
Aussiepom, All Around Friendliness,Affectionate With Family,4
Aussiepom, All Around Friendliness,Kid-Friendly,3
Aussiepom, All Around Friendliness,Dog Friendly,4
Aussiepom, All Around Friendliness,Friendly Toward Strangers,4
Aussiepom, Health And Grooming Needs,Amount Of Shedding,3
Aussiepom, Health And Grooming Needs,Drooling Potential,2
Aussiepom, Health And Grooming Needs,Easy To Groom,2
Aussiepom, Health And Grooming Needs,General Health,4
Aussiepom, Health And Grooming Needs,Potential For Weight Gain,4
Aussiepom, Health And Grooming Needs,Size,3
Aussiepom, Trainability,Easy To Train,4
Aussiepom, Trainability,Intelligence,4
Aussiepom, Trainability,Potential For Mouthiness,4
Aussiepom, Trainability,Prey Drive,2
Aussiepom, Trainability,Tendency To Bark Or Howl,3
Aussiepom, Trainability,Wanderlust Potential,2
Aussiepom, Physical Needs,Energy Level,5
Aussiepom, Physical Needs,Intensity,3
Aussiepom, Physical Needs,Exercise Needs,4
Aussiepom, Physical Needs,Potential For Playfulness,5
Aussiedoodle, Adaptability,Adapts Well To Apartment Living,2
Aussiedoodle, Adaptability,Good For Novice Owners,3
Aussiedoodle, Adaptability,Sensitivity Level,3
Aussiedoodle, Adaptability,Tolerates Being Alone,2
Aussiedoodle, Adaptability,Tolerates Cold Weather,3
Aussiedoodle, Adaptability,Tolerates Hot Weather,3
Aussiedoodle, All Around Friendliness,Affectionate With Family,5
Aussiedoodle, All Around Friendliness,Kid-Friendly,4
Aussiedoodle, All Around Friendliness,Dog Friendly,4
Aussiedoodle, All Around Friendliness,Friendly Toward Strangers,4
Aussiedoodle, Health And Grooming Needs,Amount Of Shedding,3
Aussiedoodle, Health And Grooming Needs,Drooling Potential,4
Aussiedoodle, Health And Grooming Needs,Easy To Groom,3
Aussiedoodle, Health And Grooming Needs,General Health,4
Aussiedoodle, Health And Grooming Needs,Potential For Weight Gain,4
Aussiedoodle, Health And Grooming Needs,Size,3
Aussiedoodle, Trainability,Easy To Train,5
Aussiedoodle, Trainability,Intelligence,5
Aussiedoodle, Trainability,Potential For Mouthiness,3
Aussiedoodle, Trainability,Prey Drive,3
Aussiedoodle, Trainability,Tendency To Bark Or Howl,2
Aussiedoodle, Trainability,Wanderlust Potential,3
Aussiedoodle, Physical Needs,Energy Level,5
Aussiedoodle, Physical Needs,Intensity,4
Aussiedoodle, Physical Needs,Exercise Needs,5
Aussiedoodle, Physical Needs,Potential For Playfulness,5
Australian Cattle Dog, Adaptability,Adapts Well To Apartment Living,2
Australian Cattle Dog, Adaptability,Good For Novice Owners,1
Australian Cattle Dog, Adaptability,Sensitivity Level,4
Australian Cattle Dog, Adaptability,Tolerates Being Alone,3
Australian Cattle Dog, Adaptability,Tolerates Cold Weather,4
Australian Cattle Dog, Adaptability,Tolerates Hot Weather,4
Australian Cattle Dog, All Around Friendliness,Affectionate With Family,5
Australian Cattle Dog, All Around Friendliness,Kid-Friendly,3
Australian Cattle Dog, All Around Friendliness,Dog Friendly,4
Australian Cattle Dog, All Around Friendliness,Friendly Toward Strangers,2
Australian Cattle Dog, Health And Grooming Needs,Amount Of Shedding,3
Australian Cattle Dog, Health And Grooming Needs,Drooling Potential,1
Australian Cattle Dog, Health And Grooming Needs,Easy To Groom,4
Australian Cattle Dog, Health And Grooming Needs,General Health,5
Australian Cattle Dog, Health And Grooming Needs,Potential For Weight Gain,4
Australian Cattle Dog, Health And Grooming Needs,Size,3
Australian Cattle Dog, Trainability,Easy To Train,5
Australian Cattle Dog, Trainability,Intelligence,5
Australian Cattle Dog, Trainability,Potential For Mouthiness,5
Australian Cattle Dog, Trainability,Prey Drive,4
Australian Cattle Dog, Trainability,Tendency To Bark Or Howl,2
Australian Cattle Dog, Trainability,Wanderlust Potential,4
Australian Cattle Dog, Physical Needs,Energy Level,5
Australian Cattle Dog, Physical Needs,Intensity,5
Australian Cattle Dog, Physical Needs,Exercise Needs,5
Australian Cattle Dog, Physical Needs,Potential For Playfulness,5
Auggie, Adaptability,Adapts Well To Apartment Living,2
Auggie, Adaptability,Good For Novice Owners,3
Auggie, Adaptability,Sensitivity Level,4
Auggie, Adaptability,Tolerates Being Alone,3
Auggie, Adaptability,Tolerates Cold Weather,4
Auggie, Adaptability,Tolerates Hot Weather,3
Auggie, All Around Friendliness,Affectionate With Family,5
Auggie, All Around Friendliness,Kid-Friendly,5
Auggie, All Around Friendliness,Dog Friendly,5
Auggie, All Around Friendliness,Friendly Toward Strangers,4
Auggie, Health And Grooming Needs,Amount Of Shedding,4
Auggie, Health And Grooming Needs,Drooling Potential,1
Auggie, Health And Grooming Needs,Easy To Groom,2
Auggie, Health And Grooming Needs,General Health,3
Auggie, Health And Grooming Needs,Potential For Weight Gain,4
Auggie, Health And Grooming Needs,Size,3
Auggie, Trainability,Easy To Train,5
Auggie, Trainability,Intelligence,5
Auggie, Trainability,Potential For Mouthiness,3
Auggie, Trainability,Prey Drive,3
Auggie, Trainability,Tendency To Bark Or Howl,4
Auggie, Trainability,Wanderlust Potential,3
Auggie, Physical Needs,Energy Level,5
Auggie, Physical Needs,Intensity,4
Auggie, Physical Needs,Exercise Needs,5
Auggie, Physical Needs,Potential For Playfulness,5
Yorkshire Terrier, Adaptability,Adapts Well To Apartment Living,5
Yorkshire Terrier, Adaptability,Good For Novice Owners,4
Yorkshire Terrier, Adaptability,Sensitivity Level,5
Yorkshire Terrier, Adaptability,Tolerates Being Alone,2
Yorkshire Terrier, Adaptability,Tolerates Cold Weather,2
Yorkshire Terrier, Adaptability,Tolerates Hot Weather,2
Yorkshire Terrier, All Around Friendliness,Affectionate With Family,4
Yorkshire Terrier, All Around Friendliness,Kid-Friendly,2
Yorkshire Terrier, All Around Friendliness,Dog Friendly,3
Yorkshire Terrier, All Around Friendliness,Friendly Toward Strangers,2
Yorkshire Terrier, Health And Grooming Needs,Amount Of Shedding,2
Yorkshire Terrier, Health And Grooming Needs,Drooling Potential,1
Yorkshire Terrier, Health And Grooming Needs,Easy To Groom,2
Yorkshire Terrier, Health And Grooming Needs,General Health,4
Yorkshire Terrier, Health And Grooming Needs,Potential For Weight Gain,2
Yorkshire Terrier, Health And Grooming Needs,Size,1
Yorkshire Terrier, Trainability,Easy To Train,3
Yorkshire Terrier, Trainability,Intelligence,3
Yorkshire Terrier, Trainability,Potential For Mouthiness,2
Yorkshire Terrier, Trainability,Prey Drive,2
Yorkshire Terrier, Trainability,Tendency To Bark Or Howl,3
Yorkshire Terrier, Trainability,Wanderlust Potential,3
Yorkshire Terrier, Physical Needs,Energy Level,5
Yorkshire Terrier, Physical Needs,Intensity,4
Yorkshire Terrier, Physical Needs,Exercise Needs,4
Yorkshire Terrier, Physical Needs,Potential For Playfulness,5
Yorkipoo, Adaptability,Adapts Well To Apartment Living,5
Yorkipoo, Adaptability,Good For Novice Owners,5
Yorkipoo, Adaptability,Sensitivity Level,4
Yorkipoo, Adaptability,Tolerates Being Alone,3
Yorkipoo, Adaptability,Tolerates Cold Weather,2
Yorkipoo, Adaptability,Tolerates Hot Weather,3
Yorkipoo, All Around Friendliness,Affectionate With Family,5
Yorkipoo, All Around Friendliness,Kid-Friendly,4
Yorkipoo, All Around Friendliness,Dog Friendly,3
Yorkipoo, All Around Friendliness,Friendly Toward Strangers,2
Yorkipoo, Health And Grooming Needs,Amount Of Shedding,1
Yorkipoo, Health And Grooming Needs,Drooling Potential,1
Yorkipoo, Health And Grooming Needs,Easy To Groom,4
Yorkipoo, Health And Grooming Needs,General Health,3
Yorkipoo, Health And Grooming Needs,Potential For Weight Gain,2
Yorkipoo, Health And Grooming Needs,Size,1
Yorkipoo, Trainability,Easy To Train,4
Yorkipoo, Trainability,Intelligence,4
Yorkipoo, Trainability,Potential For Mouthiness,3
Yorkipoo, Trainability,Prey Drive,3
Yorkipoo, Trainability,Tendency To Bark Or Howl,5
Yorkipoo, Trainability,Wanderlust Potential,2
Yorkipoo, Physical Needs,Energy Level,5
Yorkipoo, Physical Needs,Intensity,3
Yorkipoo, Physical Needs,Exercise Needs,3
Yorkipoo, Physical Needs,Potential For Playfulness,4
Yakutian Laika, Adaptability,Adapts Well To Apartment Living,1
Yakutian Laika, Adaptability,Good For Novice Owners,3
Yakutian Laika, Adaptability,Sensitivity Level,3
Yakutian Laika, Adaptability,Tolerates Being Alone,1
Yakutian Laika, Adaptability,Tolerates Cold Weather,5
Yakutian Laika, Adaptability,Tolerates Hot Weather,3
Yakutian Laika, All Around Friendliness,Affectionate With Family,5
Yakutian Laika, All Around Friendliness,Kid-Friendly,4
Yakutian Laika, All Around Friendliness,Dog Friendly,4
Yakutian Laika, All Around Friendliness,Friendly Toward Strangers,4
Yakutian Laika, Health And Grooming Needs,Amount Of Shedding,4
Yakutian Laika, Health And Grooming Needs,Drooling Potential,2
Yakutian Laika, Health And Grooming Needs,Easy To Groom,3
Yakutian Laika, Health And Grooming Needs,General Health,4
Yakutian Laika, Health And Grooming Needs,Potential For Weight Gain,3
Yakutian Laika, Health And Grooming Needs,Size,3
Yakutian Laika, Trainability,Easy To Train,4
Yakutian Laika, Trainability,Intelligence,4
Yakutian Laika, Trainability,Potential For Mouthiness,2
Yakutian Laika, Trainability,Prey Drive,3
Yakutian Laika, Trainability,Tendency To Bark Or Howl,4
Yakutian Laika, Trainability,Wanderlust Potential,3
Yakutian Laika, Physical Needs,Energy Level,4
Yakutian Laika, Physical Needs,Intensity,3
Yakutian Laika, Physical Needs,Exercise Needs,5
Yakutian Laika, Physical Needs,Potential For Playfulness,4
Xoloitzcuintli, Adaptability,Adapts Well To Apartment Living,5
Xoloitzcuintli, Adaptability,Good For Novice Owners,1
Xoloitzcuintli, Adaptability,Sensitivity Level,5
Xoloitzcuintli, Adaptability,Tolerates Being Alone,1
Xoloitzcuintli, Adaptability,Tolerates Cold Weather,3
Xoloitzcuintli, Adaptability,Tolerates Hot Weather,3
Xoloitzcuintli, All Around Friendliness,Affectionate With Family,5
Xoloitzcuintli, All Around Friendliness,Kid-Friendly,3
Xoloitzcuintli, All Around Friendliness,Dog Friendly,2
Xoloitzcuintli, All Around Friendliness,Friendly Toward Strangers,1
Xoloitzcuintli, Health And Grooming Needs,Amount Of Shedding,1
Xoloitzcuintli, Health And Grooming Needs,Drooling Potential,1
Xoloitzcuintli, Health And Grooming Needs,Easy To Groom,5
Xoloitzcuintli, Health And Grooming Needs,General Health,5
Xoloitzcuintli, Health And Grooming Needs,Potential For Weight Gain,3
Xoloitzcuintli, Health And Grooming Needs,Size,3
Xoloitzcuintli, Trainability,Easy To Train,3
Xoloitzcuintli, Trainability,Intelligence,5
Xoloitzcuintli, Trainability,Potential For Mouthiness,3
Xoloitzcuintli, Trainability,Prey Drive,5
Xoloitzcuintli, Trainability,Tendency To Bark Or Howl,5
Xoloitzcuintli, Trainability,Wanderlust Potential,5
Xoloitzcuintli, Physical Needs,Energy Level,3
Xoloitzcuintli, Physical Needs,Intensity,3
Xoloitzcuintli, Physical Needs,Exercise Needs,3
Xoloitzcuintli, Physical Needs,Potential For Playfulness,3
Whippet, Adaptability,Adapts Well To Apartment Living,5
Whippet, Adaptability,Good For Novice Owners,3
Whippet, Adaptability,Sensitivity Level,5
Whippet, Adaptability,Tolerates Being Alone,2
Whippet, Adaptability,Tolerates Cold Weather,1
Whippet, Adaptability,Tolerates Hot Weather,4
Whippet, All Around Friendliness,Affectionate With Family,5
Whippet, All Around Friendliness,Kid-Friendly,5
Whippet, All Around Friendliness,Dog Friendly,4
Whippet, All Around Friendliness,Friendly Toward Strangers,4
Whippet, Health And Grooming Needs,Amount Of Shedding,2
Whippet, Health And Grooming Needs,Drooling Potential,1
Whippet, Health And Grooming Needs,Easy To Groom,5
Whippet, Health And Grooming Needs,General Health,4
Whippet, Health And Grooming Needs,Potential For Weight Gain,1
Whippet, Health And Grooming Needs,Size,3
Whippet, Trainability,Easy To Train,4
Whippet, Trainability,Intelligence,4
Whippet, Trainability,Potential For Mouthiness,4
Whippet, Trainability,Prey Drive,5
Whippet, Trainability,Tendency To Bark Or Howl,1
Whippet, Trainability,Wanderlust Potential,4
Whippet, Physical Needs,Energy Level,5
Whippet, Physical Needs,Intensity,2
Whippet, Physical Needs,Exercise Needs,5
Whippet, Physical Needs,Potential For Playfulness,5
Whoodle, Adaptability,Adapts Well To Apartment Living,4
Whoodle, Adaptability,Good For Novice Owners,1
Whoodle, Adaptability,Sensitivity Level,3
Whoodle, Adaptability,Tolerates Being Alone,1
Whoodle, Adaptability,Tolerates Cold Weather,4
Whoodle, Adaptability,Tolerates Hot Weather,2
Whoodle, All Around Friendliness,Affectionate With Family,4
Whoodle, All Around Friendliness,Kid-Friendly,4
Whoodle, All Around Friendliness,Dog Friendly,3
Whoodle, All Around Friendliness,Friendly Toward Strangers,4
Whoodle, Health And Grooming Needs,Amount Of Shedding,2
Whoodle, Health And Grooming Needs,Drooling Potential,1
Whoodle, Health And Grooming Needs,Easy To Groom,3
Whoodle, Health And Grooming Needs,General Health,4
Whoodle, Health And Grooming Needs,Potential For Weight Gain,2
Whoodle, Health And Grooming Needs,Size,3
Whoodle, Trainability,Easy To Train,2
Whoodle, Trainability,Intelligence,4
Whoodle, Trainability,Potential For Mouthiness,1
Whoodle, Trainability,Prey Drive,2
Whoodle, Trainability,Tendency To Bark Or Howl,1
Whoodle, Trainability,Wanderlust Potential,3
Whoodle, Physical Needs,Energy Level,4
Whoodle, Physical Needs,Intensity,4
Whoodle, Physical Needs,Exercise Needs,4
Whoodle, Physical Needs,Potential For Playfulness,4
Westiepoo, Adaptability,Adapts Well To Apartment Living,3
Westiepoo, Adaptability,Good For Novice Owners,4
Westiepoo, Adaptability,Sensitivity Level,4
Westiepoo, Adaptability,Tolerates Being Alone,1
Westiepoo, Adaptability,Tolerates Cold Weather,3
Westiepoo, Adaptability,Tolerates Hot Weather,3
Westiepoo, All Around Friendliness,Affectionate With Family,4
Westiepoo, All Around Friendliness,Kid-Friendly,4
Westiepoo, All Around Friendliness,Dog Friendly,4
Westiepoo, All Around Friendliness,Friendly Toward Strangers,4
Westiepoo, Health And Grooming Needs,Amount Of Shedding,1
Westiepoo, Health And Grooming Needs,Drooling Potential,1
Westiepoo, Health And Grooming Needs,Easy To Groom,5
Westiepoo, Health And Grooming Needs,General Health,4
Westiepoo, Health And Grooming Needs,Potential For Weight Gain,4
Westiepoo, Health And Grooming Needs,Size,2
Westiepoo, Trainability,Easy To Train,4
Westiepoo, Trainability,Intelligence,4
Westiepoo, Trainability,Potential For Mouthiness,3
Westiepoo, Trainability,Prey Drive,4
Westiepoo, Trainability,Tendency To Bark Or Howl,3
Westiepoo, Trainability,Wanderlust Potential,3
Westiepoo, Physical Needs,Energy Level,4
Westiepoo, Physical Needs,Intensity,4
Westiepoo, Physical Needs,Exercise Needs,4
Westiepoo, Physical Needs,Potential For Playfulness,5
West Highland White Terrier, Adaptability,Adapts Well To Apartment Living,4
West Highland White Terrier, Adaptability,Good For Novice Owners,4
West Highland White Terrier, Adaptability,Sensitivity Level,4
West Highland White Terrier, Adaptability,Tolerates Being Alone,2
West Highland White Terrier, Adaptability,Tolerates Cold Weather,4
West Highland White Terrier, Adaptability,Tolerates Hot Weather,3
West Highland White Terrier, All Around Friendliness,Affectionate With Family,5
West Highland White Terrier, All Around Friendliness,Kid-Friendly,4
West Highland White Terrier, All Around Friendliness,Dog Friendly,5
West Highland White Terrier, All Around Friendliness,Friendly Toward Strangers,3
West Highland White Terrier, Health And Grooming Needs,Amount Of Shedding,4
West Highland White Terrier, Health And Grooming Needs,Drooling Potential,1
West Highland White Terrier, Health And Grooming Needs,Easy To Groom,3
West Highland White Terrier, Health And Grooming Needs,General Health,3
West Highland White Terrier, Health And Grooming Needs,Potential For Weight Gain,4
West Highland White Terrier, Health And Grooming Needs,Size,2
West Highland White Terrier, Trainability,Easy To Train,4
West Highland White Terrier, Trainability,Intelligence,4
West Highland White Terrier, Trainability,Potential For Mouthiness,2
West Highland White Terrier, Trainability,Prey Drive,4
